Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Liberia,LBR,"School enrollment, primary (% gross)",SE.PRM.ENRR,..,..,..,..,..,89.2062301635742,..,88.4250335693359,95.9832763671875,..,100.745734764563,..,52.1977055032725,92.5530201850852,89.990046454263,83.8891158492465,79.5952338903314,..,..,72.4228278801865,67.4627150781073,66.5939255094706,..,..,..
Liberia,LBR,"School enrollment, secondary (% gross)",SE.SEC.ENRR,..,..,..,..,..,..,..,..,..,..,43.64794921875,..,..,36.7695617675781,36.3728485107422,..,..,..,..,37.7416801452637,..,..,..,..,..
Liberia,LBR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,59.4030316392756,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Liberia,LBR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,181.7,168.6,156.2,144.8,134.9,126.5,119.6,114,109.5,105.7,102.4,99.5,97,97,93.2,91.5,90.3,89.4,88.7,88.3,88,87.8,87.3,86.4,..
Liberia,LBR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,53.109,54.061,53.045,55.949,56.765,57.495,58.147,58.675,59.106,59.358,59.486,59.785,59.992,59.21,59.248,60.483,60.777,60.999,61.232,61.267,61.166,61.934,62.163,62.324,..
Liberia,LBR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.15581036,2.16462922,2.51847482,5.90509653,6.69497347,5.77426577,4.32884932,5.99615717,8.98514843,8.43860245,8.58399582,7.62987185,7.15610409,8.09817886,10.38244438,9.88514519,9.91087437,10.43527889,8.38325977,12.90504265,13.27175999,13.58819675,13.00574875,..,..
Liberia,LBR,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,61.9197046364816,62.8078227070838,63.6915834211062,64.5712728784184,65.4465992759902,66.2032069100531,66.9527157246347,67.6948813001936,68.4324549886399,69.1652648922475,69.8933749749855,70.6161490742492,71.3338862504404,72.0459731773456,72.7524847164664,73.4532574499597,74.1477432355412,74.8362128370245,75.5183258975949,76.193954779971,76.8629734925215,77.5249138658914,78.180013925929,78.8278345445612,..
Liberia,LBR,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,..,..,..,..,..,3,1.3,1.9,5.3,4.1,9.3,9.8,9.4,15.2,17.7,24.2,22.8,23.1,27.6,29.8,31.8,32.5,..,..
Liberia,LBR,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.033812227177592,0.0327133071190699,0.0318689345450327,0.0310111848040233,0.551400006,0.529999971,0.551400006,0.529999971,2,2.3,2.5,2.599999905,3.200000048,5.409999847,10,15.69999981,16.29999924,17.27770042,19.89579964,22.91069984,26.38229942,30.38010025,31.22410011,32.23360062,..
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,412610871.509121,466773711.235579,553614800.145707,582169841.298304,639776040.688424,634781901.251494,753162998.015113,952667544.037289,890167833.369849,940112538.936436,1157074319.19388,1049412177.11413,1109682824.13594,1135250721.0374,1152384166.79638,1245074264.10396,1469978606.12143,1554133593.91699,1596227316.34846,1705057581.09946,1908094558.33981,1859601384.05928,2127688181.12014,2218393804.54798,..
